FrameID,Right,PalmX,PalmY,PalmZ,ThumbX,ThumbY,ThumbZ,IndexX,IndexY,IndexZ,MiddleX,MiddleY,MiddleZ,RingX,RingY,RingZ,PinkyX,PinkyY,PinkyZ
894103,True,21.05099105834961,252.72561645507812,102.23087310791016,-72.98236846923828,260.6392517089844,92.43816375732422,-21.607913970947266,311.75927734375,13.992744445800781,13.159899711608887,289.9714660644531,-10.915438652038574,25.190670013427734,225.4395294189453,0.6315643787384033,81.71617889404297,243.57313537597656,17.50827980041504
894104,True,21.0443172454834,252.60829162597656,102.27178192138672,-72.90837097167969,260.48486328125,92.2625961303711,-21.545684814453125,311.6970520019531,14.02537727355957,13.28837776184082,289.79937744140625,-10.892813682556152,24.85527801513672,224.6027069091797,1.1114403009414673,81.75175476074219,243.70826721191406,17.611425399780273
894105,True,21.04540252685547,252.5159149169922,102.30305480957031,-72.83529663085938,260.34625244140625,92.1202392578125,-21.509323120117188,311.6873474121094,14.082592964172363,13.351884841918945,289.68865966796875,-10.862051963806152,24.544292449951172,223.8773193359375,1.541934847831726,81.75333404541016,243.86441040039062,17.674299240112305
894106,True,21.07378387451172,252.43429565429688,102.34928131103516,-72.73210906982422,260.16595458984375,92.01287841796875,-21.46029281616211,311.7333068847656,14.196825981140137,13.325507164001465,289.5944519042969,-10.805288314819336,24.55701446533203,223.40908813476562,1.8085317611694336,81.76347351074219,244.06399536132812,17.746217727661133
894107,True,21.09516143798828,252.3600616455078,102.38172149658203,-72.63243865966797,260.0564270019531,91.94670104980469,-21.408111572265625,311.867431640625,14.351602554321289,13.092042922973633,289.4722595214844,-10.752233505249023,24.78044319152832,223.24986267089844,1.8798562288284302,81.7350082397461,244.23251342773438,17.786357879638672
894108,True,21.115055084228516,252.32269287109375,102.38064575195312,-72.52055358886719,260.19818115234375,91.95035552978516,-21.334653854370117,312.1568603515625,14.54606819152832,12.49365520477295,289.1351623535156,-10.768424034118652,25.025346755981445,223.24656677246094,1.8446294069290161,81.7353744506836,244.44297790527344,17.787288665771484
894109,True,21.151994705200195,252.28604125976562,102.36388397216797,-72.39582061767578,260.4405212402344,92.01914978027344,-21.129531860351562,312.73040771484375,14.886923789978027,10.579671859741211,287.1336669921875,-11.040369033813477,25.751659393310547,223.72071838378906,1.4442768096923828,81.82344818115234,244.74635314941406,17.798795700073242
894110,True,21.177753448486328,252.2459716796875,102.35350036621094,-72.26505279541016,260.92999267578125,92.18982696533203,-20.769540786743164,313.7659912109375,15.505712509155273,7.071737766265869,282.3705139160156,-11.5654878616333,27.51856231689453,225.5028533935547,0.2588140666484833,81.92311096191406,245.0283203125,17.821609497070312
894111,True,21.21299934387207,252.15283203125,102.32842254638672,-72.17727661132812,261.5546569824219,92.50533294677734,-20.647083282470703,314.0792236328125,15.7627592086792,3.708657741546631,276.7077331542969,-11.865769386291504,31.407926559448242,229.8219451904297,-2.0099055767059326,82.13831329345703,245.44532775878906,17.896331787109375
894112,True,21.222240447998047,252.0591278076172,102.29410552978516,-72.05677795410156,262.0765686035156,92.71715545654297,-20.626623153686523,314.1125793457031,15.865802764892578,0.14339463412761688,269.2964782714844,-11.8997220993042,35.495361328125,234.90467834472656,-3.9605679512023926,82.38468933105469,246.02867126464844,17.99164581298828
894114,True,21.21364974975586,251.9081268310547,102.23332214355469,-71.78938293457031,263.07220458984375,93.05744171142578,-20.420446395874023,314.4577331542969,16.216135025024414,-4.2389445304870605,255.97183227539062,-10.531671524047852,40.4169807434082,241.35301208496094,-5.926611423492432,82.85086059570312,247.71080017089844,18.175243377685547
